trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.96}",35,0,-292.137286029563,"{0: 17, 1: 6, 2: 4, 3: 4, 4: 4}",0
2,False,"{'a': 0.5, 'e': 0.9216}",25,0,-82.37703184458577,"{0: 18, 1: 3, 2: 1, 3: 2, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.884736}",25,0,-87.76554067915204,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.84934656}",20,0,-112.41767706095844,"{0: 9, 1: 4, 2: 6, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.8153726976}",20,0,-59.5261123806417,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.782757789696}",20,0,-91.22073600557835,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.7514474781081599}",25,0,-131.64495762197782,"{0: 17, 1: 2, 2: 2, 3: 2, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.7213895789838335}",30,3,-18.83169504668899,"{0: 20, 1: 5, 2: 2, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.6925339958244802}",30,0,-59.32512439735202,"{0: 22, 1: 2, 2: 5, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.6648326359915009}",20,0,-49.29529116849227,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.6382393305518408}",30,0,-106.50233977126659,"{0: 22, 1: 2, 2: 3, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.6127097573297672}",25,0,-139.22526770298478,"{0: 16, 1: 3, 2: 3, 3: 0, 4: 3}",0
13,False,"{'a': 0.5, 'e': 0.5882013670365764}",20,6,-37.30216569688098,"{0: 10, 1: 0, 2: 3, 3: 1, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.5646733123551133}",25,3,-26.985796903386127,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 1}",1
15,False,"{'a': 0.5, 'e': 0.5420863798609088}",25,0,-196.3623170504503,"{0: 14, 1: 1, 2: 5, 3: 2, 4: 3}",0
16,False,"{'a': 0.5, 'e': 0.5204029246664724}",20,0,-27.273868597797755,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.4995868076798135}",20,0,-2.754127194883482,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.47960333537262095}",20,0,-40.56832789603275,"{0: 16, 1: 1, 2: 0, 3: 3, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.4604192019577161}",25,5,-49.57213465579656,"{0: 15, 1: 0, 2: 3, 3: 2, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.4420024338794074}",20,10,-17.989498549750266,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 0}",1
21,False,"{'a': 0.5, 'e': 0.42432233652423107}",30,18,-3.61924267676709,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
22,False,"{'a': 0.5, 'e': 0.4073494430632618}",20,7,11.818207667663941,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
23,False,"{'a': 0.5, 'e': 0.3910554653407313}",20,10,8.008964076137625,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
24,False,"{'a': 0.5, 'e': 0.3754132467271021}",20,0,-97.31972504486896,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
25,False,"{'a': 0.5, 'e': 0.360396716858018}",20,0,2.5415227555228608,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
26,False,"{'a': 0.5, 'e': 0.3459808481836973}",25,0,-25.57165359342991,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
27,False,"{'a': 0.5, 'e': 0.33214161425634936}",20,0,-14.170770128043545,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",1
28,False,"{'a': 0.5, 'e': 0.3188559496860954}",20,0,20.323883364127873,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
29,False,"{'a': 0.5, 'e': 0.3061017116986515}",20,8,-46.27152317919812,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 1}",1
30,False,"{'a': 0.5, 'e': 0.29385764323070546}",25,1,5.926196297170501,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 0}",1
31,False,"{'a': 0.5, 'e': 0.2821033375014772}",20,15,2.846553499143403,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
32,False,"{'a': 0.5, 'e': 0.2708192040014181}",20,12,10.41147253169833,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
33,False,"{'a': 0.5, 'e': 0.2599864358413614}",20,8,18.649835968111205,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
34,False,"{'a': 0.5, 'e': 0.2495869784077069}",25,0,-66.98465460372124,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
35,False,"{'a': 0.5, 'e': 0.23960349927139862}",20,2,-14.233804872512414,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 0}",1
36,False,"{'a': 0.5, 'e': 0.23001935930054268}",35,15,-23.914750296026167,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",1
37,False,"{'a': 0.5, 'e': 0.22081858492852097}",20,12,-7.180841277104104,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
38,False,"{'a': 0.5, 'e': 0.21198584153138011}",20,14,2.6898895524166737,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
39,False,"{'a': 0.5, 'e': 0.2035064078701249}",25,17,-1.4750300013350253,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
40,False,"{'a': 0.5, 'e': 0.1953661515553199}",20,15,9.86163163549819,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
41,False,"{'a': 0.5, 'e': 0.1875515054931071}",20,14,-2.0160001862141286,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
42,False,"{'a': 0.5, 'e': 0.1800494452733828}",35,13,-19.618909564505422,"{0: 18, 1: 1, 2: 2, 3: 1, 4: 0}",1
43,False,"{'a': 0.5, 'e': 0.17284746746244747}",20,15,1.8014945825240607,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.5, 'e': 0.16593356876394957}",20,15,7.3859211515307255,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
45,False,"{'a': 0.5, 'e': 0.15929622601339158}",25,5,-9.063196693191491,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
46,False,"{'a': 0.5, 'e': 0.1529243769728559}",20,0,-23.588107641012602,"{0: 15, 1: 3, 2: 1, 3: 1, 4: 0}",0
47,False,"{'a': 0.5, 'e': 0.14680740189394167}",20,16,7.303303442583431,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
48,False,"{'a': 0.5, 'e': 0.140935105818184}",20,6,0.535515435103751,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
49,False,"{'a': 0.5, 'e': 0.13529770158545662}",20,9,22.57622480920709,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.5, 'e': 0.12988579352203836}",20,0,-36.14039450247288,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
51,False,"{'a': 0.5, 'e': 0.12469036178115682}",35,20,-14.968787293936956,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
52,False,"{'a': 0.5, 'e': 0.11970274730991054}",25,8,29.757744840648975,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
53,False,"{'a': 0.5, 'e': 0.11491463741751412}",30,22,15.831912005267686,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.5, 'e': 0.11031805192081355}",25,15,20.3670457238584,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.5, 'e': 0.105905329843981}",30,20,15.695878197204667,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.5, 'e': 0.10166911665022176}",20,0,6.869076202324711,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
57,False,"{'a': 0.5, 'e': 0.09760235198421288}",20,5,21.23162588638572,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.5, 'e': 0.09369825790484436}",20,13,14.028440071397187,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
59,False,"{'a': 0.5, 'e': 0.08995032758865058}",25,16,17.290875082202934,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.5, 'e': 0.08635231448510455}",20,10,14.873927816166363,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
61,False,"{'a': 0.5, 'e': 0.08289822190570037}",20,16,6.7159572386137345,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 0.5, 'e': 0.07958229302947235}",20,15,11.567414454336541,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.5, 'e': 0.07639900130829345}",20,0,31.730043304281676,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
64,False,"{'a': 0.5, 'e': 0.07334304125596171}",25,9,19.936179518321357,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.5, 'e': 0.07040931960572323}",20,11,4.384428494860602,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
66,False,"{'a': 0.5, 'e': 0.0675929468214943}",20,11,8.210808958096585,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
