trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.96}",20,0,-90.29752862621,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.9216}",25,0,-147.27462648346486,"{0: 8, 1: 7, 2: 8, 3: 2, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.884736}",20,0,-122.71721959260236,"{0: 9, 1: 3, 2: 6, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.84934656}",25,0,-53.921521275624194,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.8153726976}",20,9,-45.305645040386345,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 1}",1
6,False,"{'a': 0.5, 'e': 0.782757789696}",25,0,-160.89614002173465,"{0: 18, 1: 1, 2: 2, 3: 0, 4: 4}",0
7,False,"{'a': 0.5, 'e': 0.7514474781081599}",20,0,-29.156666066691628,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.7213895789838335}",30,0,-228.68232809250833,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 5}",0
9,False,"{'a': 0.5, 'e': 0.6925339958244802}",20,0,-188.82932699387115,"{0: 10, 1: 0, 2: 6, 3: 1, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.6648326359915009}",20,0,-64.51541462004252,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.6382393305518408}",20,0,-91.07259187980817,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.6127097573297672}",25,0,-45.75649739827186,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.5882013670365764}",20,8,-56.98537992697391,"{0: 7, 1: 2, 2: 2, 3: 0, 4: 1}",1
14,False,"{'a': 0.5, 'e': 0.5646733123551133}",20,0,-92.05741393007041,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
