trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,5,-154.93827896741664,"{0: 13, 1: 2, 2: 8, 3: 0, 4: 2}",1
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-94.67904694991175,"{0: 15, 1: 6, 2: 2, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-52.905046389176036,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-177.17374569351753,"{0: 7, 1: 7, 2: 3, 3: 0, 4: 3}",1
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-49.760323458780476,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,0,-286.4423457147875,"{0: 14, 1: 2, 2: 9, 3: 0, 4: 5}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-149.7588390692808,"{0: 9, 1: 8, 2: 6, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-121.309304946031,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,0,-195.38473284217437,"{0: 17, 1: 3, 2: 4, 3: 4, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-166.0856769415706,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-36.35793187775274,"{0: 14, 1: 4, 2: 1, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-86.50651401485223,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-95.15346982305742,"{0: 12, 1: 1, 2: 4, 3: 3, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",30,0,-214.73270432383967,"{0: 15, 1: 5, 2: 5, 3: 2, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-114.56207267238277,"{0: 11, 1: 4, 2: 9, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-187.6500341300308,"{0: 13, 1: 6, 2: 1, 3: 2, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,15,-46.57660806584842,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-104.78430323083839,"{0: 14, 1: 5, 2: 4, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,0,-148.52526836439105,"{0: 16, 1: 3, 2: 9, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-202.76352859828174,"{0: 9, 1: 1, 2: 5, 3: 2, 4: 3}",0
1,True,"{'a': 0.0, 'e': 0.0}",25,0,-105.72995698905741,"{0: 12, 1: 4, 2: 9, 3: 0, 4: 0}",0
2,True,"{'a': 0.0, 'e': 0.0}",20,1,-74.92501488497302,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 1}",1
3,True,"{'a': 0.0, 'e': 0.0}",25,0,-57.09119795440368,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 0}",0
4,True,"{'a': 0.0, 'e': 0.0}",30,0,-119.13597305355283,"{0: 17, 1: 3, 2: 7, 3: 3, 4: 0}",0
5,True,"{'a': 0.0, 'e': 0.0}",25,0,-134.93227397036205,"{0: 13, 1: 3, 2: 7, 3: 1, 4: 1}",0
6,True,"{'a': 0.0, 'e': 0.0}",20,0,-236.67900803123123,"{0: 10, 1: 0, 2: 4, 3: 2, 4: 4}",0
7,True,"{'a': 0.0, 'e': 0.0}",35,6,-140.99072226060485,"{0: 17, 1: 4, 2: 6, 3: 0, 4: 2}",1
8,True,"{'a': 0.0, 'e': 0.0}",20,0,-195.28737772832827,"{0: 9, 1: 2, 2: 5, 3: 1, 4: 3}",0
9,True,"{'a': 0.0, 'e': 0.0}",30,0,-57.55985884792113,"{0: 22, 1: 2, 2: 5, 3: 1, 4: 0}",0
10,True,"{'a': 0.0, 'e': 0.0}",20,0,-192.30830586103585,"{0: 9, 1: 1, 2: 5, 3: 3, 4: 2}",0
