trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-70.47920952864139,"{0: 15, 1: 2, 2: 8, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-162.933944227148,"{0: 13, 1: 1, 2: 7, 3: 3, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-60.66843036098394,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",30,0,-288.52926941945174,"{0: 14, 1: 4, 2: 6, 3: 1, 4: 5}",1
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-178.16954162021267,"{0: 14, 1: 1, 2: 7, 3: 0, 4: 3}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-87.15303866445345,"{0: 15, 1: 3, 2: 5, 3: 2, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-156.83313578211855,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-135.94789073627268,"{0: 17, 1: 3, 2: 2, 3: 0, 4: 3}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-116.77438721039873,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-121.03999895709828,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-32.13279963800428,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",30,0,-212.73397611567003,"{0: 18, 1: 4, 2: 1, 3: 4, 4: 3}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-145.9460323314006,"{0: 16, 1: 4, 2: 2, 3: 0, 4: 3}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-161.3368260514704,"{0: 16, 1: 2, 2: 3, 3: 1, 4: 3}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-129.28221189671615,"{0: 13, 1: 4, 2: 6, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-68.81526649200337,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-131.63645438493478,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-86.56090163743869,"{0: 10, 1: 1, 2: 9, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,0,-153.94398371502032,"{0: 20, 1: 2, 2: 5, 3: 0, 4: 3}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-96.24722717368674,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",35,0,-94.90116766027077,"{0: 24, 1: 3, 2: 7, 3: 0, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-81.06033230654896,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",35,10,-79.68985032207061,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",1
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-120.98332670566722,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-155.21762562320035,"{0: 12, 1: 1, 2: 2, 3: 3, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-177.51224566452993,"{0: 13, 1: 3, 2: 4, 3: 3, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-63.4987018810166,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",35,0,-122.14722487217033,"{0: 20, 1: 8, 2: 5, 3: 1, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,13,-33.39772210715731,"{0: 7, 1: 2, 2: 3, 3: 0, 4: 0}",1
10,True,"{'a': 0.5, 'e': 1.0}",30,0,-190.33551944397263,"{0: 17, 1: 2, 2: 8, 3: 0, 4: 3}",0
